Token#1: reference|  Componente Lexico:  |REFERENCE [Linea: 1]
Token#2: Programa2|  Componente Lexico:  |id [Linea: 1]
Token#3: program|  Componente Lexico:  |PROGRAM [Linea: 2]
Token#4: Programa1|  Componente Lexico:  |id [Linea: 2]
Token#5: START|  Componente Lexico:  |id [Linea: 2]
Token#6: define|  Componente Lexico:  |DEFINE [Linea: 4]
Token#7: int|  Componente Lexico:  |id [Linea: 4]
Token#8: variable1|  Componente Lexico:  |id [Linea: 4]
Token#9: ,|  Componente Lexico:  |separador [Linea: 4]
Token#10: variable2|  Componente Lexico:  |id [Linea: 4]
Token#11: ;|  Componente Lexico:  |terminador_sentencia [Linea: 4]
Token#12: defina|  Componente Lexico:  |id [Linea: 5]
Token#13: text|  Componente Lexico:  |TEXT [Linea: 5]
Token#14: txt1|  Componente Lexico:  |id [Linea: 5]
Token#15: ,|  Componente Lexico:  |separador [Linea: 5]
Token#16: txt2|  Componente Lexico:  |id [Linea: 5]
Token#17: ;|  Componente Lexico:  |terminador_sentencia [Linea: 5]
